0.000,0.000
-0.528,0.093
-1.057,-0.019
-1.600,-0.130
-2.083,-0.260
-2.581,-0.371
-3.065,-0.538
-3.563,-0.705
-4.121,-0.872
-4.650,-1.039
-5.148,-1.187
-5.646,-1.336
-6.204,-1.466
-6.778,-1.614
-7.337,-1.800
-7.850,-1.967
-8.318,-2.152
-8.846,-2.319
-9.314,-2.505
-9.843,-2.746
-10.371,-2.969
-10.899,-3.191
-11.367,-3.377
-11.850,-3.562
-12.364,-3.766
-12.862,-4.026
-13.345,-4.249
-13.843,-4.434
-14.371,-4.620
-14.870,-4.768
-15.383,-4.917
-15.881,-5.084
-16.409,-5.251
-16.893,-5.399
-17.391,-5.603
-17.859,-5.807
-18.432,-5.844
-18.946,-6.085
-19.429,-6.252
-19.882,-6.475
-20.380,-6.624
-19.912,-6.401
-19.414,-6.308
-18.915,-6.234
-18.372,-6.215
-17.844,-6.197
-17.315,-6.160
-16.772,-6.085
-16.274,-6.178
-15.760,-6.327
-15.247,-6.271
-14.749,-6.457
-14.311,-6.753
-13.919,-7.069
-13.586,-7.458
-13.224,-7.978
-12.998,-8.479
-12.651,-8.906
-12.500,-9.388
-12.303,-9.852
-11.956,-10.223
-12.318,-9.815
-12.484,-9.314
-12.681,-8.813
-12.862,-8.330
-12.922,-7.792
-12.983,-7.273
-12.983,-6.735
-12.922,-6.234
-12.832,-5.714
-12.047,-5.752
-11.881,-5.251
-11.624,-4.787
-11.367,-4.341
-11.020,-3.933
-10.613,-3.562
-10.205,-3.173
-9.752,-2.857
-9.299,-2.616
-8.831,-2.393
-8.333,-2.189
-7.820,-1.967
-7.291,-1.800
-6.748,-1.596
-6.220,-1.484
-5.691,-1.299
-5.193,-1.132
-4.650,-0.946
-4.121,-0.761
-3.623,-0.575
-3.110,-0.371
-2.612,-0.167
-2.098,0.037
-1.585,0.186
-1.102,0.408
-0.604,0.594
-0.121,0.779
