index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
195,-18.918,8.503,-19.944,1,1,2.00,NONE
196,-18.906,8.304,13.098,1,1,2.00,NONE
197,-18.874,8.160,52.516,1,1,2.00,NONE
198,-18.715,8.278,102.492,1,1,2.00,NONE
199,-18.520,8.306,170.364,1,1,2.00,NONE
200,-18.440,8.373,-166.565,1,1,2.00,NONE
201,-18.628,8.377,-130.291,1,1,2.00,NONE
202,-18.618,8.516,-135.476,1,1,2.00,NONE
203,-18.699,8.558,-131.393,1,1,2.00,NONE
204,-18.862,8.445,62.088,1,1,2.00,NONE
205,-18.896,8.289,63.397,1,1,2.00,NONE
206,-18.808,8.126,71.152,1,1,2.00,NONE
207,-18.935,8.177,54.663,1,1,2.00,NONE
208,-18.926,8.359,42.053,1,1,2.00,NONE
209,-18.812,8.522,37.687,1,1,2.00,NONE
210,-18.672,8.663,36.636,1,1,2.00,NONE
211,-18.514,8.785,36.972,1,1,2.00,NONE
212,-18.342,8.886,41.214,1,1,2.00,NONE
213,-18.183,9.008,51.767,1,1,2.00,NONE
214,-18.032,9.139,125.024,1,1,2.00,NONE
215,-17.877,9.265,-167.722,1,1,2.00,NONE
216,-17.742,9.411,-166.907,1,1,2.00,NONE
217,-17.788,9.405,-169.300,1,1,2.00,NONE
218,-17.966,9.314,161.936,1,1,2.00,NONE
219,-18.135,9.207,108.852,1,1,2.00,NONE
220,-18.330,9.167,72.251,1,1,2.00,NONE
221,-18.489,9.257,54.929,1,1,2.00,NONE
222,-18.408,9.436,62.881,1,1,2.00,NONE
223,-18.289,9.597,87.578,1,1,2.00,NONE
224,-18.153,9.743,148.453,1,1,2.00,NONE
225,-18.032,9.899,177.561,1,1,2.00,NONE
226,-18.062,10.077,-174.056,1,1,2.00,NONE
227,-18.222,10.015,175.432,1,1,2.00,NONE
228,-18.362,9.972,168.495,1,2,2.00,NONE
229,-18.537,9.896,158.089,1,2,2.00,NONE
230,-18.719,9.945,154.395,1,2,2.00,NONE
231,-18.888,10.050,152.488,1,2,2.00,NONE
232,-19.078,10.114,138.748,1,2,2.00,NONE
233,-19.264,10.187,113.980,1,2,2.00,NONE
234,-19.436,10.289,81.333,1,2,2.00,NONE
235,-19.590,10.415,53.215,1,2,2.00,NONE
236,-19.644,10.598,38.883,1,2,2.00,NONE
237,-19.537,10.759,39.024,1,2,2.00,NONE
238,-19.363,10.856,47.359,1,2,2.00,NONE
239,-19.191,10.956,52.960,1,2,2.00,NONE
240,-19.038,11.083,51.266,1,2,2.00,NONE
241,-18.929,11.249,37.821,1,2,2.00,NONE
242,-18.838,11.427,18.382,1,2,2.00,NONE
243,-18.717,11.585,-0.314,1,2,2.00,NONE
244,-18.554,11.694,-13.992,1,2,2.00,NONE
245,-18.357,11.701,-19.006,1,2,2.00,NONE
246,-18.162,11.656,-17.315,1,2,2.00,NONE
247,-17.976,11.583,-11.774,1,2,2.00,NONE
248,-17.792,11.505,-4.818,1,2,2.00,NONE
249,-17.603,11.441,0.824,1,2,2.00,NONE
250,-17.404,11.420,3.483,1,2,2.00,NONE
251,-17.204,11.422,3.482,1,2,2.00,NONE
252,-17.005,11.438,0.031,1,2,2.00,NONE
253,-16.806,11.452,-3.469,1,2,2.00,NONE
254,-16.606,11.468,4.781,1,2,2.00,NONE
255,-16.407,11.471,24.878,1,2,2.00,NONE
256,-16.210,11.439,54.980,1,2,2.00,NONE
257,-16.018,11.401,80.454,1,2,2.00,NONE
258,-15.864,11.520,96.938,1,2,2.00,NONE
259,-15.849,11.716,102.811,1,2,2.00,NONE
260,-15.865,11.916,105.095,1,2,2.00,NONE
261,-15.894,12.113,104.978,1,2,2.00,NONE
262,-15.958,12.302,101.132,1,2,2.00,NONE
263,-16.025,12.489,95.761,1,2,2.00,NONE
264,-16.072,12.684,88.188,1,2,2.00,NONE
265,-16.100,12.882,67.582,1,2,2.00,NONE
266,-16.112,13.081,30.627,1,2,2.00,NONE
267,-16.105,13.280,-6.291,1,2,2.00,NONE
268,-16.050,13.471,-27.241,1,2,2.00,NONE
269,-15.904,13.487,-33.336,1,2,2.00,NONE
270,-15.772,13.337,-28.595,1,2,2.00,NONE
271,-15.602,13.251,-17.001,1,2,2.00,NONE
272,-15.429,13.153,12.761,1,2,2.00,NONE
273,-15.255,13.059,79.068,1,2,2.00,NONE
274,-15.088,12.952,107.651,1,2,2.00,NONE
275,-14.954,13.008,118.804,1,2,2.00,NONE
276,-15.042,13.185,115.840,1,2,2.00,NONE
277,-15.160,13.347,109.391,1,2,2.00,NONE
278,-15.264,13.516,103.758,1,2,2.00,NONE
279,-15.336,13.702,101.513,1,2,2.00,NONE
280,-15.387,13.896,102.057,1,2,2.00,NONE
281,-15.422,14.092,105.114,1,2,2.00,NONE
282,-15.454,14.290,111.624,1,2,2.00,NONE
283,-15.496,14.485,118.172,1,2,2.00,NONE
284,-15.553,14.676,124.324,1,2,2.00,NONE
285,-15.630,14.861,130.319,1,2,2.00,NONE
286,-15.745,15.025,135.496,1,2,2.00,NONE
287,-15.869,15.182,141.562,1,2,2.00,NONE
288,-16.001,15.332,150.032,1,2,2.00,NONE
289,-16.145,15.469,156.967,1,2,2.00,NONE
290,-16.311,15.581,156.928,1,2,2.00,NONE
291,-16.487,15.674,152.756,1,2,2.00,NONE
292,-16.681,15.724,142.882,1,2,2.00,NONE
293,-16.872,15.778,133.449,1,2,2.00,NONE
294,-17.037,15.890,129.348,1,2,2.00,NONE
295,-17.179,16.028,127.335,1,2,2.00,NONE
296,-17.297,16.190,125.740,1,2,2.00,NONE
297,-17.415,16.351,125.273,1,2,2.00,NONE
298,-17.542,16.505,137.573,1,2,2.00,NONE
299,-17.664,16.664,150.693,1,2,2.00,NONE
300,-17.763,16.837,139.831,1,2,2.00,NONE
301,-17.875,17.002,127.967,1,2,2.00,NONE
302,-18.050,17.004,102.639,1,2,1.00,NONE
303,-18.136,16.861,97.287,1,2,1.00,NONE
304,-18.074,17.025,110.731,1,2,1.00,NONE
305,-18.099,17.223,122.836,-1,2,1.00,NONE
306,-18.131,17.420,138.512,1,2,1.00,NONE
307,-18.213,17.598,152.203,1,2,1.00,NONE
308,-18.345,17.748,160.908,1,2,1.00,NONE
309,-18.507,17.863,168.486,1,2,1.00,NONE
310,-18.695,17.925,-173.739,1,2,1.00,NONE
311,-18.893,17.957,-135.354,1,2,1.00,NONE
312,-19.087,18.005,-61.260,1,2,1.00,NONE
313,-19.285,18.024,-42.568,1,2,1.00,NONE
314,-19.323,17.905,-36.424,1,2,1.00,NONE
315,-19.158,17.796,-42.527,1,2,1.00,NONE
316,-18.973,17.721,-43.744,1,2,1.00,NONE
317,-18.807,17.612,-36.466,1,2,1.00,NONE
318,-18.697,17.445,-25.477,1,2,1.00,NONE
319,-18.591,17.276,-16.163,1,2,1.00,NONE
320,-18.424,17.185,-14.881,-1,2,1.00,NONE
321,-18.226,17.176,-20.457,-1,2,1.00,NONE
322,-18.032,17.127,-23.045,1,2,1.00,NONE
323,-17.844,17.061,-24.057,-1,2,1.00,NONE
324,-17.660,16.982,-23.331,-1,2,1.00,NONE
325,-17.479,16.897,-21.380,-1,2,1.00,NONE
326,-17.297,16.814,-18.458,-1,2,1.00,NONE
327,-17.113,16.735,-16.650,-1,2,1.00,NONE
328,-16.926,16.666,-17.481,-1,2,1.00,NONE
329,-16.735,16.606,-20.195,-1,2,1.00,NONE
330,-16.540,16.561,-24.651,-1,2,1.00,NONE
331,-16.348,16.506,-28.537,-1,2,1.00,NONE
332,-16.165,16.426,-27.967,-1,2,1.00,NONE
333,-15.989,16.332,-22.685,-1,2,1.00,NONE
334,-15.817,16.230,-15.296,-1,2,1.00,NONE
335,-15.647,16.124,-7.488,-1,2,1.00,NONE
336,-15.462,16.052,-2.765,-1,2,1.00,NONE
337,-15.264,16.028,-1.766,-1,2,1.00,NONE
338,-15.064,16.023,-5.866,-1,2,1.00,NONE
